"P, Pa",dP,D,dD
5332.88,392.266,0.0011201336833341,2.560661644738685e-05
10932.404,392.266,0.0005538113696791,1.266138883435814e-05
15865.318000000001,392.266,0.00037238904792,8.512957352227659e-06
21331.52,392.266,0.0002830849805185,6.473697622789843e-06
26797.722,392.266,0.0002203924499176,5.042527226303266e-06
