"I, A","U, V","M, mgr"
1.1,108,83030
1,97.8,83034
0.9,88.2,83038
0.8,78.3,83043
0.7,68.8,83046
0.6,59.1,83050
0.5,48.5,83055
0.4,39,83057
0.3,29.3,83059
0.2,19.7,83060
0.1,9.5,83061
0,0,83063
